,level_0,index,name,island,k3,max_X,BETX,ALFX,ALPHA_C,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
0,0,0,LOE.22002,top,0.3,0.03089649202,273.7938046,6.094904905,0.001845478005,0.00829186779,2.117170943,456.2986442,-4.676577179,25.25516164,-0.008174973814,0.0005850783638
1,1,2,LOE.22002,top,0.4,0.03068200959,237.4686261,5.302727825,0.001845376436,0.008148269097,2.028475549,412.9041616,-5.410841597,25.1649703,-0.008142508428,0.0005815226233
2,2,4,LOE.22002,top,0.5,0.03047204821,213.3993087,4.781374394,0.001845276574,0.008009234938,1.944220264,372.8345255,-6.042010912,25.07663471,-0.008099772413,0.0005777986418
3,3,6,LOE.22002,top,0.6,0.03026636423,196.0165093,4.407006049,0.001845178386,0.007874573173,1.864133715,335.8131065,-6.600183384,24.99009699,-0.008052652895,0.0005740341318
4,4,8,LOE.22002,top,0.7,0.03006477645,182.7456001,4.122659602,0.001845081843,0.007744099845,1.787963912,301.5891113,-7.10300588,24.90530579,-0.008003566744,0.0005702804346
5,5,10,LOE.22002,top,0.8,0.0298671324,172.2119604,3.898033196,0.001844986915,0.007617639829,1.715476711,269.9347428,-7.561906161,24.82221294,-0.007953677596,0.0005665613942
6,6,12,LOE.22002,top,0.9,0.02967329583,163.6066081,3.715346333,0.001844893573,0.007495026676,1.646454395,240.6428333,-7.984804448,24.74077235,-0.007903606404,0.0005628889983
