,level_0,index,name,island,k3,max_X,BETX,ALFX,ALPHA_C,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
0,0,1,LOE.32002,bot,0.3,0.0309272267,324.9830009,8.611375134,0.00184548969,0.008298102468,2.118211305,456.618049,-4.795845554,25.27324601,0.0004590006263,-0.0003879604969
1,1,3,LOE.32002,bot,0.4,0.03071160681,283.1008471,7.485508912,0.00184538811,0.00815459554,2.02967316,413.3685918,-5.509902154,25.18227632,0.0005503011705,-0.0003878070034
2,2,5,LOE.32002,bot,0.5,0.03050089244,254.7988681,6.728407147,0.001845288276,0.008015655882,1.945553918,373.4223206,-6.127458362,25.09324511,0.0006047488776,-0.0003867270247
3,3,7,LOE.32002,bot,0.6,0.03029471704,234.0939594,6.176233904,0.001845190136,0.007881084523,1.865585453,336.5053964,-6.675624454,25.00605994,0.0006408411885,-0.000385210664
4,4,9,LOE.32002,bot,0.7,0.03009280977,218.1366807,5.751581207,0.001845093648,0.007750695114,1.789517947,302.3693739,-7.170672708,24.92065427,0.0006664600638,-0.0003834653901
5,5,11,LOE.32002,bot,0.8,0.02989496154,205.3761851,5.412538615,0.001844998781,0.007624311695,1.717118961,270.7885007,-7.623297721,24.83697205,0.0006855315189,-0.0003815936585
6,6,13,LOE.32002,bot,0.9,0.02970100008,194.8872886,5.134196571,0.001844905501,0.007501767633,1.648172221,241.5573915,-8.040987548,24.75496261,0.0007002311763,-0.0003796515731
