,level_0,index,name,island,k3,max_X,BETX,ALFX,ALPHA_C,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
0,7,15,"LOE.12002,LOE.32002",bot,0.3,0.02997755943,316.5861517,7.116945741,0.001845035353,0.007682382256,1.755788011,290.4950731,-4.583021912,24.69986285,0.006817672098,-0.0005323045872
1,8,17,"LOE.12002,LOE.32002",bot,0.4,0.02949801111,276.4712074,6.222028887,0.001844802581,0.007378542787,1.587487653,221.5153126,-5.260831964,24.44736449,0.006747993799,-0.0005247695048
2,9,19,"LOE.12002,LOE.32002",bot,0.5,0.02904039072,250.0462552,5.634880024,0.001844579108,0.007096800427,1.438640548,165.2567657,-5.830006798,24.20681794,0.006671024035,-0.0005173387997
3,10,21,"LOE.12002,LOE.32002",bot,0.6,0.02860301431,231.0742411,5.214681206,0.001844364542,0.006835032354,1.306548474,119.257217,-6.322171564,23.97748481,0.00659227823,-0.0005101169793
4,11,23,"LOE.12002,LOE.32002",bot,0.7,0.02818442366,216.6735073,4.896608703,0.001844158493,0.006591357484,1.188942816,81.56845348,-6.756049582,23.75867687,0.006513916763,-0.0005031352189
5,12,25,"LOE.12002,LOE.32002",bot,0.8,0.02778332041,205.307128,4.646178531,0.001843960574,0.006364106542,1.083908456,50.64078511,-7.143867027,23.54975191,0.006436898327,-0.0004963993873
6,13,27,"LOE.12002,LOE.32002",bot,0.9,0.02739853443,196.0718223,4.443164777,0.001843770404,0.00615179549,0.9898223185,25.23530015,-7.494155649,23.35011114,0.006361669133,-0.000489905291
