,level_0,index,name,island,k3,max_X,BETX,ALFX,ALPHA_C,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
0,14,29,"LOE.22002,LOE.32002",bot,0.3,0.03019958702,249.057506,6.120516808,0.001845145874,0.007826211698,1.836016081,324.6817093,-6.174893749,24.92088656,0.003704735186,-0.0004620929612
1,15,31,"LOE.22002,LOE.32002",bot,0.4,0.02978045079,218.1216058,5.363017321,0.001844943334,0.007556672563,1.682380308,258.6073146,-7.06503109,24.7297334,0.003703194385,-0.0004569510276
2,16,33,"LOE.22002,LOE.32002",bot,0.5,0.02937741204,197.4776772,4.859607204,0.001844747805,0.007304182216,1.544111793,202.940677,-7.819581049,24.54639896,0.003686853426,-0.000451647911
3,17,35,"LOE.22002,LOE.32002",bot,0.6,0.02898973731,182.5281522,4.496230661,0.001844559025,0.007067309478,1.419359896,155.9473078,-8.477030714,24.37045423,0.003663778603,-0.0004463685708
4,18,37,"LOE.22002,LOE.32002",bot,0.7,0.02861658984,171.1085936,4.219418245,0.001844376738,0.00684476663,1.306530808,116.206865,-9.060442701,24.20150217,0.00363735052,-0.0004411841752
5,19,39,"LOE.22002,LOE.32002",bot,0.8,0.02825714564,162.0502279,4.000380964,0.001844200688,0.006635393551,1.204247924,82.55151873,-9.584993515,24.0391711,0.003609219792,-0.0004361244878
6,20,41,"LOE.22002,LOE.32002",bot,0.9,0.02791062403,154.6599992,3.822085095,0.001844030623,0.006438143528,1.111318723,54.01730393,-10.06133248,23.88311194,0.003580277135,-0.0004312015346
