,level_0,index,name,island,k3,max_X,BETX,ALFX,ALPHA_C,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
0,0,1,"LOE.12002,LOE.22002",bot,0.3,0.03539876131,1164.293997,29.40286049,0.001927048078,0.006435655808,0.8744587484,162.9470781,-1.443755011,30.54777823,0.001980319811,-0.0004772688541
1,1,3,"LOE.12002,LOE.22002",bot,0.4,0.03446063019,1199.507446,30.04261756,0.00192634468,0.006034244785,0.7508795015,126.960389,-1.431943614,29.72901501,0.00234234049,-0.0004752633558
2,2,5,"LOE.12002,LOE.22002",bot,0.5,0.03358701116,1226.158741,30.44897321,0.00192570197,0.005681586363,0.649115388,99.75113379,-1.435276589,28.98569152,0.002692001808,-0.0004736836236
3,3,7,"LOE.12002,LOE.22002",bot,0.6,0.0327799612,1244.610332,30.64397257,0.001925112652,0.005369695129,0.564475203,78.93388954,-1.450227074,28.30802225,0.003019219151,-0.0004721885806
4,4,9,"LOE.12002,LOE.22002",bot,0.7,0.03202151874,1255.661642,30.65915443,0.001924570504,0.005092173123,0.493447402,62.89828322,-1.473633694,27.68780341,0.003316871633,-0.0004705333462
5,5,11,"LOE.12002,LOE.22002",bot,0.8,0.0313111199,1260.390123,30.53039977,0.001924070208,0.004843844279,0.4333510462,50.51761671,-1.502819361,27.11811886,0.003580908233,-0.0004685654871
6,6,13,"LOE.12002,LOE.22002",bot,0.9,0.03065639833,1259.981544,30.29327964,0.001923607196,0.004620486811,0.3821058466,40.95479453,-1.535644255,26.59310519,0.003809989309,-0.0004662105267
