,level_0,index,name,island,k3,max_X,BETX,ALFX,ALPHA_C,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
0,0,0,"LOE.12002,LOE.22002",top,0.3,0.03539876131,1046.449288,26.39207741,0.001927048078,0.006435655808,0.8744587489,162.9470737,-1.443755012,30.54777823,-0.00384932742,0.0005359763677
1,1,2,"LOE.12002,LOE.22002",top,0.4,0.03446063019,1076.954765,26.90553014,0.00192634468,0.006034244785,0.7508795019,126.9604155,-1.431943615,29.72901501,-0.004094358141,0.0005304008646
2,2,4,"LOE.12002,LOE.22002",top,0.5,0.03358701116,1099.696058,27.2072021,0.00192570197,0.005681586364,0.6491153888,99.75113574,-1.435276591,28.98569152,-0.004337458929,0.0005255673839
3,3,6,"LOE.12002,LOE.22002",top,0.6,0.0327799612,1115.151043,27.32222591,0.001925112652,0.005369695129,0.5644752034,78.93387523,-1.450227076,28.30802225,-0.00456770316,0.0005211070534
4,4,8,"LOE.12002,LOE.22002",top,0.7,0.03202151874,1124.150733,27.2829069,0.001924570504,0.005092173124,0.4934474025,62.89826812,-1.473633696,27.68780341,-0.00477723256,0.0005167514913
5,5,10,"LOE.12002,LOE.22002",top,0.8,0.03131111991,1127.730007,27.12386709,0.001924070208,0.004843844279,0.4333510467,50.51762356,-1.502819363,27.11811886,-0.004961294748,0.0005123267225
6,6,12,"LOE.12002,LOE.22002",top,0.9,0.03065639833,1126.979298,26.87800316,0.001923607196,0.004620486812,0.3821058473,40.95483525,-1.535644258,26.59310519,-0.005117854456,0.0005077374812
