,level_0,index,name,island,k3,max_X,BETX,ALFX,ALPHA_C,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
0,14,29,"LOE.22002,LOE.52002",bot,0.3,0.0374554587,246.9629065,7.451795295,0.001928650327,0.007423081978,1.215334642,277.3723057,-6.042701989,32.59316542,-0.008225055449,-0.0002180235568
1,15,31,"LOE.22002,LOE.52002",bot,0.4,0.03708136612,216.7171534,6.530497393,0.00192835759,0.007239781944,1.148800003,253.019672,-6.895032782,32.29707444,-0.00824011309,-0.0002127989968
2,16,33,"LOE.22002,LOE.52002",bot,0.5,0.03671710276,196.3363957,5.904450765,0.001928074768,0.007065341192,1.086885496,230.9560657,-7.626904373,32.01206325,-0.008211545772,-0.0002090464469
3,17,35,"LOE.22002,LOE.52002",bot,0.6,0.03637375484,181.4817768,5.445269549,0.001927801342,0.006899134225,1.029175773,210.9314562,-8.271454353,31.73746903,-0.0081624781,-0.0002060551993
4,18,37,"LOE.22002,LOE.52002",bot,0.7,0.03603902889,170.0793733,5.091001473,0.001927536848,0.006740607857,0.975306928,192.7292702,-8.848849287,31.47271191,-0.008102841305,-0.00020351583
5,19,39,"LOE.22002,LOE.52002",bot,0.8,0.03571286948,160.9986151,4.807646989,0.00192728086,0.006589261871,0.9249552436,176.1599687,-9.372481642,31.21726554,-0.008037564173,-0.0002012717269
6,20,41,"LOE.22002,LOE.52002",bot,0.9,0.03539507346,153.5647074,4.574808337,0.001927032978,0.006444639795,0.8778307581,161.0568193,-9.851805669,30.97064513,-0.00796933999,-0.0001992348866
