,level_0,index,name,island,k3,max_X,BETX,ALFX,ALPHA_C,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
0,0,1,LOE.12002,right,0.3,0.03740293603,86.4449996,4.155916884,0.001928628683,0.007402496994,1.205961569,273.6870195,-5.972175858,32.55227128,0.02508996305,-0.0004523413797
1,1,5,LOE.12002,right,0.1,0.03820115771,121.3989428,6.388574519,0.001929252789,0.00780141317,1.355360787,330.4130401,-3.490156069,33.18903585,0.02614717463,-0.0004908354508
2,2,9,LOE.12002,right,0.5,0.03666753365,74.57536707,3.405438,0.001928048354,0.007043281347,1.077564074,227.5012324,-7.585067746,31.96544924,0.02450245429,-0.0004380462154
3,3,13,LOE.12002,right,0.6,0.03631651292,71.22977711,3.183765617,0.001927772817,0.006876486097,1.019919955,207.5958451,-8.238677031,31.68831609,0.02424657782,-0.0004325391767
4,4,17,LOE.12002,right,0.7,0.03597565463,68.75817817,3.014042011,0.001927506373,0.006717454008,0.9661356194,189.512979,-8.823262339,31.4212066,0.02400494303,-0.0004275599887
5,5,21,LOE.12002,right,0.8,0.03564438544,66.87366086,2.879513672,0.001927248583,0.006565675441,0.9158835708,173.0619964,-9.352774379,31.16357852,0.02377428534,-0.00042294736
6,6,25,LOE.12002,right,0.9,0.0353222079,65.40248447,2.77004967,0.001926999038,0.006420685845,0.8688708099,158.0753522,-9.83701158,30.91493308,0.02355268319,-0.0004186099603
