,level_0,index,name,island,k3,max_X,BETX,ALFX,ALPHA_C,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
0,0,0,"LOE.12002,LOE.32002,LOEN.52002",top,0.3,0.02900371946,1008.467842,23.28575539,0.001844557919,0.007068425299,1.426380068,162.0263314,-1.308165508,24.02182839,-0.00638862425,0.0005200838846
1,1,2,"LOE.12002,LOE.32002,LOEN.52002",top,0.4,0.02827769705,826.2123966,18.78651086,0.001844198723,0.006637594463,1.214088042,91.52142608,-1.592432589,23.59371934,-0.006637055259,0.0005163033823
2,2,4,"LOE.12002,LOE.32002,LOEN.52002",top,0.5,0.02760724399,724.8473384,16.36002193,0.001843863386,0.006255141812,1.039412386,41.48496792,-1.817683809,23.19856349,-0.006666565757,0.0005081248054
3,3,6,"LOE.12002,LOE.32002,LOEN.52002",top,0.6,0.02697834148,659.2477619,14.81591659,0.001843549958,0.005913981414,0.894414642,5.869926738,-2.00360267,22.83285084,-0.006619432417,0.0004987927984
4,4,8,"LOE.12002,LOE.32002,LOEN.52002",top,0.7,0.02638871578,612.8862999,13.73630166,0.001843256666,0.005608217884,0.7730745008,-19.47564745,-2.161359199,22.49359365,-0.00654020036,0.0004892678439
5,5,10,"LOE.12002,LOE.32002,LOEN.52002",top,0.8,0.02583502968,578.1816431,12.93417593,0.001842981875,0.005332954934,0.6707686518,-37.44185271,-2.297860349,22.17817947,-0.006446802749,0.0004799043055
6,6,12,"LOE.12002,LOE.32002,LOEN.52002",top,0.9,0.02531402165,551.1277377,12.31235184,0.001842724079,0.005084110183,0.583909642,-50.06418412,-2.417702602,21.88430771,-0.006347583568,0.0004708442874
