x0s,px0s,x_fins,px_fins
-0.03128274732,0.001301816161,-0.03348357566,0.0004259214026
-0.03078394894,0.001288413893,-0.03076968546,0.0007565651201
-0.03028515055,0.001275011625,0.02150904594,-0.001061357901
-0.02978635217,0.001261609357,0.03091776296,-0.001010348031
-0.02928755378,0.001248207089,0.02692932067,-0.0003110115536
-0.0287887554,0.001234804821,0.01734908293,1.569503283e-05
-0.02828995701,0.001221402553,-0.009206545023,0.0007368973669
-0.02779115863,0.001208000285,-0.02532607564,0.001156463009
-0.02729236025,0.001194598017,-0.02942662038,0.001204978802
-0.02679356186,0.001181195749,-0.03030248808,0.001057100174
-0.02629476348,0.001167793481,-0.03022209338,0.0007862785255
-0.02579596509,0.001154391213,-0.02972928802,0.0005467894034
-0.02529716671,0.001140988945,-0.02861755185,0.0003935081769
-0.02479836832,0.001127586677,-0.02631618311,0.0002752804703
-0.02429956994,0.001114184409,-0.02197458494,0.000133190551
-0.02380077156,0.001100782141,-0.01497306734,-6.59328347e-05
-0.02330197317,0.001087379873,-0.005819932506,-0.0003148307908
-0.02280317479,0.001073977605,0.003714135798,-0.000569623175
-0.0223043764,0.001060575337,0.01184234751,-0.0007839612117
-0.02180557802,0.001047173069,0.01784264814,-0.0009377120352
-0.02130677963,0.001033770801,0.02192706713,-0.001034820415
-0.02080798125,0.001020368533,0.02463253829,-0.001087780208
-0.02030918287,0.001006966265,0.02644387668,-0.001107727975
-0.01981038448,0.0009935639965,0.02768985085,-0.001101982734
-0.0193115861,0.0009801617285,0.02855728206,-0.001074977003
-0.01881278771,0.0009667594605,0.02913598711,-0.001029971399
-0.01831398933,0.0009533571924,0.02946447121,-0.0009704424665
-0.01781519094,0.0009399549244,0.02956601765,-0.0009006452846
-0.01731639256,0.0009265526564,0.02946823858,-0.0008253490357
-0.01681759417,0.0009131503884,0.02920705814,-0.0007490935007
-0.01631879579,0.0008997481203,0.0288216555,-0.0006754810435
-0.01581999741,0.0008863458523,0.02834801452,-0.0006068713793
-0.01532119902,0.0008729435843,0.02781477925,-0.0005444243582
-0.01482240064,0.0008595413162,0.0272420239,-0.0004883580762
-0.01432360225,0.0008461390482,0.02664236708,-0.0004382894405
-0.01382480387,0.0008327367802,0.02602294209,-0.0003935170581
-0.01332600548,0.0008193345121,0.02538774459,-0.0003532443435
-0.0128272071,0.0008059322441,0.02473939169,-0.0003167065107
-0.01232840872,0.0007925299761,0.02408054387,-0.0002832502198
-0.01182961033,0.0007791277081,0.02341492138,-0.0002523704078
