,Unnamed: 0,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
22,1,"LOE.12002,LOEN.52002",top,-1.9,-1.9,3,0.005,26.7475,0.07433769071,62.6487632,1.883814327,0.001835841585,23.3390083,0.02565089231,53.66700329,170373.067,-19.88462243,22.50751814,-0.006016481004,0.001083358625
23,1,"LOE.12002,LOEN.52002",top,-2.3,-1.9,3,0.005,26.7475,0.08761280228,60.37272552,1.871631566,0.001823955061,23.41493373,0.009595653828,16.37331819,38623.28948,-16.34028317,10.908848,-0.005229217491,0.001226984562
24,1,"LOE.12002,LOEN.52002",top,-2.7,-1.9,3,0.005,26.7475,0.1009805741,60.86001653,1.946437975,0.001816584655,23.46238621,0.001301253123,2.407489517,3133.657944,-8.977131818,-0.4278446051,-0.004694342872,0.001375322203
25,1,"LOE.12002,LOEN.52002",top,-0.7,-2.3,3,0.005,26.7475,0.05567638279,66.53038691,1.873823271,0.001850713962,23.24504276,0.03679277583,62.20314156,157284.7438,-19.78395819,31.34707871,-0.01228984883,0.001005665827
26,1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,3,0.005,26.7475,0.06322458994,64.06466904,1.862038303,0.001845962988,23.27493654,0.03691942493,75.30995736,234239.6837,-20.52416451,29.57312635,-0.01161580818,0.001088207286
27,1,"LOE.12002,LOEN.52002",top,-1.5,-2.3,3,0.005,26.7475,0.07306959533,61.96023846,1.853248747,0.001836941619,23.33201908,0.02712716141,57.3666115,184458.2767,-20.08306764,23.36618564,-0.01082109151,0.001195290638
28,1,"LOE.12002,LOEN.52002",top,-1.9,-2.3,3,0.005,26.7475,0.08476651208,61.43604309,1.876407112,0.001826163317,23.4007724,0.01228133418,21.8722589,55822.36837,-16.78210836,13.24388267,-0.009905656166,0.001319393556
29,1,"LOE.12002,LOEN.52002",top,-2.3,-2.3,3,0.005,26.7475,0.0970069257,62.28089685,1.937337113,0.001818284373,23.45141742,0.002980245505,4.52937837,7152.076551,-10.81266806,2.872635823,-0.008862411737,0.001443232559
30,1,"LOE.12002,LOEN.52002",top,-2.7,-2.3,3,0.005,26.7475,0.1085360184,63.66425291,2.030224459,0.001814791429,23.47397514,-0.0003636682392,0.6855015085,511.6876519,-3.577703711,-5.490453888,-0.007826822798,0.001556111441
31,1,"LOE.12002,LOEN.52002",top,-0.7,-2.7,3,0.005,26.7475,0.06544881613,57.63714229,1.741506427,0.001844374302,23.28495853,0.03662430641,77.75052739,249291.3342,-23.09794073,29.46381777,-0.01535319412,0.00120668648
32,1,"LOE.12002,LOEN.52002",top,-1.1,-2.7,3,0.005,26.7475,0.07457988956,57.71664361,1.767573105,0.001835590264,23.34060598,0.02578017371,54.96254997,176606.3456,-21.50580203,22.6849592,-0.01531432419,0.001325844684
33,1,"LOE.12002,LOEN.52002",top,-1.5,-2.7,3,0.005,26.7475,0.08476730359,59.26261206,1.82482396,0.001826051268,23.40149035,0.01218975907,21.92833957,56403.66586,-17.31005588,13.17625539,-0.01489186659,0.001449352476
34,1,"LOE.12002,LOEN.52002",top,-1.9,-2.7,3,0.005,26.7475,0.09526243172,61.8127184,1.908491374,0.001819008936,23.44674627,0.003652906795,5.48667551,9239.68049,-11.34684294,3.942130818,-0.01394736331,0.001561074004
35,1,"LOE.12002,LOEN.52002",top,-2.3,-2.7,3,0.005,26.7475,0.1057489607,64.29821749,2.001027215,0.00181532518,23.47052392,0.0001431889783,1.096134068,996.3088225,-5.103171418,-3.489519398,-0.01254828615,0.001653355874
36,1,"LOE.12002,LOEN.52002",top,-2.7,-2.7,3,0.005,26.7475,0.1154873307,66.13289524,2.098379192,0.001814281267,23.47727525,-0.001018757747,0.2465067599,85.78280101,1.090894038,-9.301680872,-0.01097774614,0.001729174356
