,name,island,k31,k32,Qx,max_X,BETX,ALFX,ALPHA_C,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,-2.0,-2.0,26.746,0.08205134246,69.6849876,2.083693822,0.001827868502,0.01240158777,17.95455468,37032.53156,-15.67725334,21.77175395,-0.007065830958,0.001207681721
1,"LOE.12002,LOEN.52002",top,-2.1,-2.1,26.746,0.08660045884,68.48567092,2.066783173,0.001824389868,0.008908975079,12.33911863,23323.84479,-14.48759136,18.47010391,-0.007641686883,0.001279981039
1,"LOE.12002,LOEN.52002",top,-2.2,-2.2,26.746,0.09114432731,67.83771542,2.064184844,0.001821316839,0.005886643764,7.768630714,12947.30305,-12.8352408,15.10459573,-0.008215246852,0.00135210907
